('gelingt', 'manag', 'logr', 'onnistu')
('gelingt', 'succeed', 'logr', 'pystyy')
('bewalt', 'meet', 'enfrent', 'vast')
('meist', 'master', 'domin', 'hal')
('gelung', 'manag', 'consegu', 'pääsy')
('gelung', 'success', 'consegu', 'onnistunu')
('bewalt', 'meet', 'hac', 'vastaamis')
('gelung', 'manag', 'consegu', 'onnistuit')
('gelung', 'succeed', 'consegu', 'onnistui')
('bewalt', 'meet', 'enfrent', 'kohd')
('gelung', 'succeeded_in', 'consegu', 'onnistun')
('bewalt', 'confront', 'hac', 'kohdattav')
('geschafft', 'manag', 'consigu', 'onnistui')
('gelung', 'succeed', 'logr', 'onnistutu')
('bewalt', 'do', 'hac', 'pysty')
('gelung', 'manag', 'consegu', 'onnistu')
('geschafft', 'abl', 'sid', 'onnistui')
('bewalt', 'meet', 'afront', 'vastaamis')
('geschafft', 'manag', 'logr', 'onnistunu')
('geschafft', 'manag', 'consegu', 'saane')
('geschafft', 'succeed', 'consegu', 'onnistun')
('geling', 'succeed', 'quer', 'onnistu')
('gelingt', 'fail', 'fracas', 'epäonnistu')
('gelingt', 'manag', 'logr', 'onnistuv')
('geschafft', 'succeed', 'logr', 'onnistui')
('bewalt', 'address', 'abord', 'ratkaisemis')
('gelingt', 'succeed', 'consig', 'onnistut')
('gelung', 'manag', 'consegu', 'pystyi')
('gelung', 'manag', 'consegu', 'saane')
('bewalt', 'meet', 'afront', 'vast')
('bewalt', 'deal', 'hac', 'selv')
('geling', 'succeed', 'triunf', 'onnistu')
('gelingt', 'manag', 'consig', 'pysty')
('bewalt', 'meet', 'super', 'vastaam')
('gelingt', 'success', 'exit', 'onnistu')
('erled', 'do', 'hac', 'hoidettav')
('bewalt', 'overcom', 'super', 'selviytym')
('geschafft', 'manag', 'pod', 'pystyn')
('schaff', 'prepar', 'prepar', 'valmist')
('meist', 'meet', 'cumpl', 'vast')
('meist', 'face', 'enfrent', 'kohd')
('geling', 'succeed', 'llev', 'onnistu')
('schaff', 'adopt', 'adopt', 'hyväksym')
('gelung', 'in', 'consegu', 'onnistui')
('gelung', 'success', 'exit', 'onnistun')
('bewalt', 'tackl', 'afront', 'käsit')
('bewalt', 'tackl', 'abord', 'käsittelem')
('bewalt', 'overcom', 'super', 'voitettav')
('bewalt', 'tackl', 'hac', 'torju')
('gelingt', 'possibl', 'consig', 'onnistu')
('gelingt', 'manag', 'logr', 'on')
('erled', 'be_don', 'hac', 'tehtäv')
('bewalt', 'deal', 'respald', 'selviytym')
('gelung', 'manag', 'consegu', 'kyen')
('gelung', 'success', 'logr', 'onnistunu')
('gelung', 'abl', 'logr', 'onnistui')
('geling', 'be_don', 'logr', 'onnistu')
('geling', 'be', 'logr', 'onnistu')
('gelung', 'success', 'acert', 'onnistun')
('gelingt', 'can', 'logr', 'onnistu')
('bewalt', 'tackl', 'hac', 'vast')
